Age,Gender,Experience,Income,Family,CCAvg,Education,Mortgage,Home Ownership,Personal Loan,Securities Account,CD Account,Online,CreditCard
55,2,30,29.0,3,0.1,2,0,2,0,1,1,1.0,0
28,2,2,93.0,2,0.2,1,0,0,0,0,0,0.0,0
31,4,5,188.0,2,4.5,1,455,0,0,0,0,0.0,0
49,2,24,39.0,3,1.7,2,0,0,0,1,0,1.0,0
47,4,21,125.0,1,5.7,1,112,0,0,1,0,0.0,0
42,2,18,22.0,1,1.0,1,0,0,0,0,0,0.0,0
42,2,17,32.0,4,0.0,2,0,0,0,0,0,1.0,0
47,3,23,105.0,2,3.3,1,0,0,0,0,0,0.0,0
59,2,35,131.0,1,3.8,1,0,0,0,0,0,1.0,1
62,2,36,105.0,2,2.8,1,336,0,0,0,0,0.0,0
53,2,23,45.0,4,2.0,3,132,0,0,1,0,0.0,0
47,3,21,60.0,3,2.1,1,0,0,0,0,0,1.0,1
53,2,29,20.0,4,0.2,1,0,0,0,0,0,1.0,0
42,2,18,115.0,1,3.5,1,0,0,0,0,0,0.0,1
53,2,29,69.0,4,1.0,2,0,0,0,0,0,1.0,0
44,2,20,130.0,1,5.0,1,0,0,0,0,0,0.0,1
41,5,16,85.0,1,4.0,3,0,0,0,0,0,1.0,1
28,5,3,135.0,2,3.3,1,0,0,0,0,0,0.0,1
58,5,32,12.0,3,0.3,3,0,2,0,0,0,0.0,0
46,5,20,29.0,3,0.5,2,0,2,0,0,0,0.0,0
50,3,26,19.0,2,0.4,1,118,2,0,0,0,1.0,0
60,2,36,41.0,4,1.3,1,174,2,0,0,0,1.0,1
47,3,22,40.0,3,2.7,2,0,2,0,0,0,1.0,0
41,3,16,82.0,1,4.0,3,0,2,0,0,0,1.0,0
33,3,9,50.0,1,2.4,2,0,2,0,0,0,0.0,0
46,2,22,18.0,1,0.9,3,0,2,0,0,0,1.0,0
27,3,2,109.0,4,1.8,3,0,2,0,0,0,0.0,0
40,3,16,42.0,4,2.2,2,126,2,0,0,0,0.0,0
48,3,22,78.0,3,1.1,1,0,2,0,0,0,1.0,0
65,3,41,51.0,2,1.1,1,0,2,0,0,0,1.0,0
25,3,-1,113.0,4,2.3,3,0,2,0,0,0,0.0,1
13,3,30,118.0,4,5.6,2,0,2,1,0,0,1.0,0
35,2,10,29.0,4,1.1,3,0,2,0,0,0,1.0,0
43,2,19,34.0,3,0.6,2,0,2,0,0,0,0.0,0
60,2,34,64.0,2,1.7,3,236,2,0,1,0,1.0,0
65,2,39,121.0,1,2.0,1,0,2,0,0,0,0.0,0
38,2,12,48.0,4,0.2,3,0,2,0,0,0,1.0,0
41,2,15,80.0,1,5.2,1,0,2,0,0,0,0.0,0
54,2,28,161.0,1,2.9,1,0,2,0,0,0,1.0,0
49,2,23,94.0,1,0.3,1,0,2,0,0,0,1.0,0
66,2,41,15.0,3,0.1,3,0,2,0,0,0,1.0,0
48,2,23,74.0,1,1.2,1,0,2,0,0,0,1.0,0
61,2,36,30.0,3,1.3,2,0,2,0,0,0,0.0,0
53,2,23,44.0,3,1.0,3,198,2,0,0,0,1.0,1
43,2,18,22.0,2,0.3,2,0,0,0,0,0,1.0,0
56,2,32,38.0,4,1.3,1,166,0,0,0,0,1.0,1
24,2,0,35.0,3,0.1,2,0,0,0,1,0,1.0,0
43,2,17,69.0,4,2.9,1,0,0,0,0,0,1.0,1
42,5,18,43.0,1,0.7,1,136,0,0,0,0,0.0,0
33,5,7,32.0,1,0.6,3,166,0,0,0,0,1.0,0
43,5,17,49.0,1,2.8,1,0,0,0,0,0,1.0,0
41,5,14,9.0,3,1.0,2,0,0,0,0,0,0.0,0
62,5,38,45.0,4,1.3,2,0,0,0,0,0,1.0,0
40,5,15,82.0,3,1.0,1,309,0,0,0,0,0.0,0
58,5,34,92.0,2,2.8,1,103,0,0,0,0,0.0,0
39,5,14,39.0,3,0.5,3,0,0,0,0,0,1.0,0
65,2,40,81.0,3,1.8,2,0,0,0,0,0,1.0,0
54,2,29,35.0,1,1.5,2,0,0,0,0,0,1.0,0
58,2,33,61.0,2,2.3,3,193,0,0,0,0,1.0,0
41,2,16,73.0,3,3.0,1,0,0,0,0,0,1.0,0
32,3,7,112.0,1,4.6,1,366,0,0,0,0,0.0,0
54,2,29,12.0,2,0.2,3,0,0,0,0,0,1.0,0
52,2,26,38.0,3,0.9,3,0,0,0,0,0,1.0,0
58,2,32,73.0,2,0.7,2,0,0,0,0,0,1.0,1
37,3,13,84.0,1,3.6,2,0,0,0,1,0,0.0,0
39,2,15,78.0,4,2.4,1,118,0,0,0,0,1.0,0
60,2,35,80.0,3,0.5,1,0,0,0,0,0,1.0,0
31,3,5,115.0,2,1.3,1,101,0,0,0,0,1.0,1
34,2,8,82.0,1,2.7,2,251,0,0,0,0,1.0,0
38,2,14,74.0,2,0.0,1,0,0,0,1,0,1.0,0
41,2,16,70.0,3,0.5,3,0,0,0,0,0,0.0,1
28,2,4,81.0,3,1.5,1,276,0,0,0,0,1.0,0
122,3,34,149.0,4,7.2,2,0,2,1,0,1,1.0,1
31,2,1,51.0,2,1.75,3,0,2,0,0,0,0.0,0
30,3,4,39.0,3,1.1,2,0,2,0,0,0,1.0,0
53,3,29,98.0,3,1.8,2,0,2,0,0,0,0.0,0
58,2,33,45.0,4,2.1,1,0,2,0,0,0,1.0,1
59,2,32,49.0,4,2.5,2,0,2,0,0,0,1.0,0
49,2,25,128.0,2,0.4,1,0,2,0,0,0,0.0,0
59,2,34,42.0,3,1.5,1,0,2,0,1,1,0.0,1
59,2,35,18.0,1,1.2,3,0,2,0,0,0,1.0,0
51,2,25,31.0,2,0.4,3,161,2,0,0,0,1.0,1
35,2,11,58.0,3,2.0,1,149,2,0,0,0,1.0,1
33,2,9,48.0,1,2.1,3,0,2,0,0,0,0.0,1
25,2,1,54.0,4,1.6,1,0,2,0,0,0,1.0,1
49,2,23,70.0,2,1.5,2,0,2,0,0,0,0.0,0
59,2,35,124.0,1,7.4,1,0,2,0,0,0,0.0,1
46,2,19,84.0,1,2.66666666666667,2,0,2,0,0,0,1.0,1
50,3,25,83.0,4,3.6,3,188,2,0,0,0,1.0,0
52,5,28,163.0,2,0.4,1,116,2,0,0,0,1.0,0
48,5,22,42.0,3,2.2,2,0,2,0,0,0,0.0,0
46,5,22,118.0,2,7.5,1,0,3,0,0,1,1.0,1
26,3,0,132.0,3,6.5,3,0,2,1,0,0,0.0,1
57,5,32,24.0,1,1.3,1,0,2,0,0,0,1.0,1
60,5,36,22.0,2,1.0,1,0,2,0,1,1,1.0,1
54,5,29,58.0,4,1.3,3,0,2,0,0,0,0.0,0
24,5,0,60.0,4,1.6,1,0,2,0,0,0,1.0,0
26,5,0,15.0,4,0.4,1,0,2,0,0,0,0.0,1
41,5,17,83.0,4,2.66666666666667,1,0,2,0,0,0,1.0,1
32,5,6,79.0,2,1.5,3,0,2,0,0,0,1.0,1
61,5,35,41.0,4,1.7,2,0,2,0,1,0,1.0,0
61,5,35,80.0,2,2.8,1,0,2,0,0,0,1.0,0
38,5,12,52.0,1,2.0,1,0,2,0,0,0,0.0,0
28,5,4,70.0,4,2.6,1,0,2,0,0,0,1.0,0
53,5,27,92.0,2,1.1,1,0,2,0,1,0,0.0,0
27,5,1,43.0,1,1.5,1,0,2,0,0,0,1.0,0
25,5,1,21.0,3,1.0,2,0,2,0,0,0,0.0,0
33,5,9,23.0,3,0.9,3,0,2,0,0,0,1.0,1
50,5,26,13.0,4,1.0,1,0,2,0,0,0,1.0,0
27,5,1,112.0,4,2.1,3,0,2,0,0,0,0.0,1
27,5,1,138.0,2,2.0,1,0,2,0,0,0,1.0,0
52,5,28,11.0,3,0.4,1,0,2,0,1,0,0.0,0
38,5,13,171.0,2,7.8,1,0,2,0,0,0,1.0,0
58,5,34,42.0,4,1.5,1,0,2,0,0,0,1.0,1
42,3,17,168.0,2,7.9,2,0,2,1,0,0,1.0,0
45,5,20,85.0,4,1.1,2,0,2,0,1,0,1.0,0
52,5,25,44.0,3,1.0,2,135,2,0,0,0,1.0,0
29,5,3,65.0,4,1.8,2,244,2,0,0,0,0.0,0
53,5,29,24.0,4,0.2,1,0,2,0,0,0,1.0,1
62,5,37,11.0,1,0.1,1,0,2,0,0,0,1.0,0
51,5,27,38.0,2,1.0,3,164,2,0,0,0,1.0,0
36,5,12,10.0,4,0.7,2,81,2,0,0,0,0.0,0
24,5,0,135.0,1,1.5,1,0,2,0,0,0,1.0,0
29,3,3,148.0,3,4.1,1,0,2,1,0,0,1.0,0
52,5,26,63.0,2,1.5,2,0,2,0,1,0,1.0,0
39,5,14,115.0,1,1.0,3,0,2,0,0,0,1.0,0
48,5,23,45.0,1,0.3,1,0,2,0,0,0,1.0,1
46,3,21,159.0,3,1.9,3,315,0,1,0,0,1.0,0
64,5,40,169.0,2,2.1,1,122,0,0,0,0,1.0,0
55,5,29,112.0,2,1.4,1,0,0,0,0,0,1.0,0
60,5,36,93.0,1,4.3,1,0,0,0,0,0,1.0,0
51,5,25,29.0,1,0.3,3,140,0,0,0,0,0.0,0
50,5,23,85.0,1,2.66666666666667,2,0,0,0,0,0,1.0,0
48,5,24,21.0,4,0.6,1,0,0,0,0,0,1.0,1
53,5,29,144.0,2,6.8,1,0,0,0,0,0,1.0,0
34,5,10,13.0,4,1.0,1,95,0,0,1,0,1.0,0
48,5,24,165.0,1,5.0,1,0,0,0,0,0,0.0,1
55,5,31,9.0,4,0.7,1,89,0,0,0,0,1.0,0
27,5,3,59.0,4,0.0,1,90,0,0,1,0,1.0,0
32,5,6,29.0,1,1.9,3,0,0,0,0,0,1.0,1
35,5,9,20.0,2,1.4,3,0,0,0,0,0,1.0,1
30,5,3,68.0,4,2.0,2,0,0,0,0,0,1.0,0
58,5,34,65.0,4,2.2,1,0,0,0,0,0,1.0,0
56,5,31,61.0,2,1.9,2,105,0,0,0,0,0.0,0
38,5,12,91.0,4,1.4,2,100,0,0,0,0,0.0,1
49,5,25,31.0,1,1.0,1,0,0,0,1,0,1.0,0
34,5,10,71.0,4,0.1,2,0,0,0,0,0,0.0,0
40,5,16,73.0,4,2.66666666666667,1,0,0,0,0,0,1.0,1
64,3,39,172.0,4,3.1,1,282,0,1,0,1,1.0,1
51,5,26,20.0,2,0.0,1,0,0,0,0,0,0.0,0
44,5,18,55.0,1,0.2,1,0,0,0,0,0,0.0,0
46,5,22,69.0,2,1.7,1,209,0,0,0,0,0.0,0
57,5,33,155.0,1,7.4,1,0,0,0,0,0,1.0,0
54,5,28,94.0,1,1.9,2,0,0,0,0,0,0.0,0
38,5,14,92.0,2,0.0,1,249,0,0,0,0,1.0,1
27,5,3,125.0,2,0.6,1,0,0,0,0,0,0.0,0
39,5,14,74.0,3,3.0,1,0,0,0,0,0,0.0,0
44,5,20,72.0,3,0.3,3,0,0,0,0,0,1.0,0
56,5,30,61.0,1,2.2,3,0,0,0,0,0,1.0,1
32,5,6,25.0,2,0.3,1,0,0,0,0,0,0.0,1
45,5,19,83.0,2,1.7,2,0,0,0,0,0,1.0,0
26,5,2,104.0,3,2.5,1,0,0,0,0,0,0.0,0
55,5,25,41.0,3,1.0,3,0,0,0,0,0,1.0,0
52,5,27,58.0,4,1.8,3,91,0,0,0,0,0.0,0
39,5,13,93.0,1,1.5,3,0,0,0,0,0,0.0,1
24,5,-1,39.0,2,1.7,2,0,0,0,0,0,0.0,0
47,5,23,148.0,2,7.5,1,0,0,0,0,1,1.0,1
47,5,22,53.0,4,1.9,3,98,0,0,1,1,0.0,1
48,5,24,71.0,2,1.7,1,145,0,0,0,0,0.0,1
47,5,22,92.0,1,2.8,2,0,0,0,0,0,1.0,0
35,5,10,61.0,4,2.1,3,0,0,0,0,0,1.0,0
46,5,19,38.0,3,2.5,2,135,0,0,0,0,0.0,0
62,5,37,58.0,4,1.7,1,0,0,0,0,0,1.0,0
26,5,1,80.0,1,0.8,2,150,0,0,0,0,0.0,0
38,5,8,71.0,4,1.8,3,0,0,0,0,0,1.0,0
43,5,18,89.0,3,0.5,3,0,0,0,0,0,1.0,1
62,5,38,83.0,1,1.8,3,0,0,0,0,0,1.0,0
57,5,32,28.0,3,0.2,1,0,0,0,0,0,1.0,1
28,5,3,52.0,4,1.7,2,0,0,0,0,0,0.0,0
51,5,26,70.0,1,1.2,1,169,0,0,0,0,0.0,0
48,5,22,71.0,1,1.4,3,0,0,0,0,0,0.0,1
41,5,16,75.0,1,3.7,3,280,0,0,0,0,0.0,0
65,3,39,170.0,3,7.9,3,99,0,1,0,1,1.0,0
41,3,17,78.0,4,0.8,1,78,0,0,0,0,1.0,0
35,3,11,25.0,2,1.0,2,0,0,0,0,0,0.0,0
38,3,14,60.0,2,0.6,3,0,0,0,0,0,1.0,1
53,3,29,120.0,4,2.7,2,111,0,1,1,1,1.0,0
55,3,29,99.0,2,1.4,1,264,0,0,0,0,1.0,1
26,3,1,55.0,3,2.6,3,113,0,0,0,0,0.0,1
30,3,6,29.0,3,1.0,2,117,0,0,0,0,0.0,0
54,3,28,170.0,2,6.2,2,325,0,1,0,0,1.0,0
65,3,40,53.0,3,2.2,1,0,0,0,0,0,0.0,1
47,3,21,138.0,1,0.0,1,0,0,0,0,0,0.0,0
65,3,41,134.0,3,3.9,3,121,0,1,0,0,1.0,0
66,3,40,42.0,2,0.7,3,138,0,0,0,0,0.0,1
26,3,0,99.0,4,2.3,3,0,0,0,0,0,0.0,1
66,3,41,18.0,3,0.5,1,0,0,0,0,0,0.0,1
35,3,9,24.0,4,0.3,1,0,0,0,0,0,1.0,0
56,3,30,55.0,1,1.4,1,77,0,0,0,0,1.0,0
51,3,27,58.0,1,0.0,1,0,0,0,0,0,0.0,1
42,3,16,111.0,2,1.2,3,251,0,1,0,0,1.0,0
49,3,23,33.0,1,0.3,3,0,0,0,0,1,1.0,1
27,3,1,74.0,4,1.8,2,112,0,0,0,0,1.0,1
45,3,19,38.0,2,0.7,1,0,0,0,0,0,0.0,0
49,3,23,23.0,4,0.6,3,98,0,0,1,0,0.0,0
63,3,38,61.0,2,1.5,1,0,0,0,0,0,1.0,0
47,3,22,81.0,1,2.9,1,138,0,0,0,0,0.0,0
64,3,39,129.0,1,2.5,1,0,0,0,0,0,1.0,0
43,3,13,33.0,1,0.75,3,0,0,0,0,0,0.0,0
60,3,36,63.0,4,2.2,1,0,0,0,0,0,1.0,0
40,3,14,70.0,4,1.4,2,0,0,0,0,0,1.0,0
29,3,3,45.0,4,0.2,1,158,0,0,0,0,1.0,1
41,3,16,65.0,3,0.5,3,0,0,0,0,0,1.0,0
30,3,5,74.0,4,2.2,1,0,0,0,1,0,0.0,1
49,3,24,50.0,4,1.8,3,0,0,0,1,0,0.0,0
30,3,5,22.0,4,0.5,3,109,0,0,0,0,1.0,0
29,3,2,30.0,4,1.0,3,0,0,0,0,0,0.0,0
50,3,26,21.0,4,1.0,1,0,0,0,0,0,1.0,0
39,3,14,155.0,2,3.9,1,0,0,0,0,0,1.0,0
33,3,8,64.0,4,2.1,3,164,0,0,0,0,1.0,0
57,3,31,65.0,4,2.6,3,0,0,0,0,0,0.0,1
34,3,9,71.0,4,0.7,3,0,0,0,0,0,1.0,0
61,3,36,40.0,3,0.5,2,0,0,0,1,0,1.0,0
44,3,19,69.0,3,0.5,3,0,0,0,0,0,1.0,0
40,3,13,69.0,3,2.33333333333333,2,0,0,0,0,0,0.0,0
51,3,25,45.0,3,0.6,2,131,0,0,0,0,1.0,0
37,3,12,62.0,3,0.7,2,0,0,0,0,0,0.0,1
44,3,19,172.0,2,4.3,3,391,0,1,1,1,1.0,0
42,3,15,24.0,3,1.0,2,0,0,0,0,0,1.0,1
51,3,25,80.0,1,4.9,1,0,0,0,0,0,0.0,0
43,3,16,8.0,3,0.666666666666667,2,88,0,0,0,0,1.0,0
30,3,5,38.0,4,0.8,1,129,0,0,0,0,1.0,1
45,3,19,93.0,4,2.6,3,0,0,0,0,0,0.0,0
35,3,9,55.0,1,2.0,1,0,0,0,0,0,1.0,0
60,3,34,64.0,2,1.7,3,0,0,0,0,0,0.0,1
34,3,9,122.0,1,0.0,1,0,0,0,0,0,1.0,0
55,3,25,70.0,3,1.4,3,0,0,0,0,0,1.0,0
43,3,19,81.0,2,3.2,1,0,0,0,0,0,0.0,0
34,3,9,70.0,4,1.3,1,0,2,0,1,0,0.0,0
65,3,39,150.0,2,6.9,1,196,2,0,0,0,0.0,0
45,3,21,152.0,2,7.5,1,0,2,0,0,0,1.0,0
49,3,25,195.0,4,3.0,1,617,2,1,0,0,0.0,0
48,3,23,22.0,1,0.1,1,0,2,0,0,0,0.0,0
60,3,35,22.0,1,1.3,1,123,2,0,0,0,1.0,0
55,3,29,79.0,3,0.8,1,0,2,0,0,0,1.0,1
42,3,18,33.0,1,1.4,3,0,2,0,0,0,1.0,0
32,3,8,128.0,2,4.33333333333333,1,0,2,0,0,1,1.0,1
62,3,38,91.0,1,3.8,1,0,2,0,1,0,1.0,0
57,3,32,39.0,4,0.9,1,0,2,0,0,0,1.0,1
52,3,26,121.0,1,7.3,1,167,2,0,0,0,1.0,0
36,3,6,21.0,1,0.666666666666667,3,0,2,0,1,0,1.0,0
34,3,9,41.0,3,2.3,1,0,2,0,0,0,0.0,1
63,3,37,45.0,2,0.7,3,0,2,0,0,0,1.0,0
24,3,-2,51.0,3,0.3,3,0,2,0,0,0,1.0,0
57,3,31,165.0,1,1.6,2,0,2,1,0,0,1.0,0
40,3,16,119.0,2,4.2,2,0,2,1,0,0,1.0,0
27,3,2,110.0,4,1.8,3,190,2,0,0,0,1.0,0
65,3,39,20.0,3,0.7,2,0,2,0,0,0,0.0,1
60,3,34,64.0,1,0.8,2,248,2,0,0,0,0.0,0
44,3,20,101.0,3,4.4,2,82,2,1,0,0,0.0,0
63,3,39,101.0,1,3.9,1,0,2,1,1,1,1.0,0
59,3,34,99.0,1,4.4,1,0,3,1,0,0,0.0,0
54,3,28,89.0,1,1.9,2,0,2,0,0,0,1.0,1
52,3,27,80.0,1,1.3,3,0,2,0,0,1,1.0,1
58,3,32,114.0,2,2.0,1,402,3,0,0,0,1.0,0
60,3,35,49.0,3,0.5,2,0,2,0,0,0,1.0,1
28,3,4,191.0,1,6.33333333333333,1,0,2,0,0,0,1.0,0
54,3,30,78.0,4,1.0,2,0,2,0,0,0,1.0,0
32,3,6,28.0,3,1.0,1,0,2,0,0,0,0.0,0
59,3,33,42.0,1,0.8,2,0,2,0,0,0,1.0,0
63,3,38,140.0,1,2.5,1,0,2,0,0,0,0.0,0
48,3,23,45.0,1,1.3,2,0,2,0,0,0,1.0,0
56,3,32,122.0,2,0.3,1,360,2,0,0,1,1.0,1
36,3,12,65.0,3,2.6,2,0,2,0,0,0,1.0,0
57,3,27,68.0,1,1.4,3,0,3,0,0,0,1.0,0
29,3,3,153.0,2,2.0,1,392,2,0,0,0,0.0,0
39,3,13,89.0,4,1.4,2,0,2,0,0,0,0.0,0
59,3,34,91.0,1,2.6,1,0,2,0,0,0,1.0,1
31,3,6,55.0,4,2.0,2,185,2,0,0,0,1.0,0
43,3,19,118.0,2,3.3,1,0,2,0,0,0,0.0,1
35,3,5,22.0,1,0.666666666666667,3,103,3,0,0,0,0.0,0
54,3,24,63.0,3,1.4,3,138,2,0,0,0,1.0,1
51,3,27,12.0,4,0.5,2,78,2,0,1,0,1.0,0
44,3,19,50.0,3,2.7,2,0,2,0,0,0,1.0,0
25,3,0,43.0,2,1.6,3,0,2,0,1,1,1.0,1
40,3,15,173.0,4,6.6,1,0,1,1,0,1,1.0,1
26,3,2,60.0,2,3.0,1,132,1,1,0,0,0.0,0
39,2,14,113.0,1,1.0,3,0,1,0,1,0,1.0,0
28,2,4,155.0,4,5.3,2,0,1,1,0,0,1.0,0
52,2,28,91.0,4,1.0,2,0,1,0,0,0,0.0,1
53,2,29,55.0,4,1.1,2,0,1,0,0,0,1.0,0
44,2,20,173.0,2,1.4,1,419,1,0,0,0,1.0,0
43,2,19,71.0,3,0.3,3,0,1,0,0,0,0.0,1
56,2,30,24.0,2,0.4,3,88,1,0,0,0,0.0,0
38,2,14,42.0,1,2.0,2,81,1,0,0,0,1.0,0
30,2,6,141.0,2,4.33333333333333,1,0,1,0,0,0,1.0,0
32,2,6,32.0,1,1.9,3,0,1,0,0,0,1.0,0
35,2,10,55.0,4,1.3,1,0,1,0,0,0,0.0,0
43,2,19,153.0,2,7.5,1,0,1,0,0,0,1.0,0
58,2,32,113.0,2,1.4,1,270,1,0,0,0,0.0,1
25,2,0,30.0,2,1.7,2,0,1,0,0,0,0.0,0
54,2,24,29.0,3,1.0,3,148,1,0,0,0,0.0,1
57,2,32,174.0,1,6.8,2,466,2,1,0,0,1.0,0
50,2,24,35.0,1,0.3,3,0,2,0,0,0,1.0,0
32,2,8,98.0,2,2.0,2,175,2,0,0,0,1.0,0
63,2,37,30.0,2,1.0,3,159,2,0,0,0,1.0,0
31,3,6,58.0,2,2.5,1,0,2,0,0,0,0.0,1
36,3,12,25.0,4,1.0,1,147,2,0,0,0,0.0,0
58,3,34,19.0,4,0.7,1,0,2,0,0,0,0.0,0
56,3,30,44.0,4,0.7,2,174,2,0,0,0,1.0,0
49,3,25,20.0,4,1.0,1,111,3,0,0,0,1.0,1
30,3,5,98.0,2,3.1,1,220,2,0,0,0,1.0,0
33,3,7,90.0,3,1.6,1,0,2,0,0,0,1.0,0
45,3,21,61.0,3,0.7,1,0,2,0,0,0,0.0,0
30,3,5,40.0,4,2.0,2,0,2,0,0,0,1.0,0
47,3,23,38.0,2,2.1,3,0,2,0,0,0,0.0,0
25,3,0,28.0,2,1.7,2,0,3,0,0,0,0.0,0
63,3,33,34.0,1,1.5,3,0,3,0,0,0,1.0,1
55,3,29,73.0,2,2.3,3,0,3,0,0,0,1.0,1
44,3,18,53.0,1,0.2,1,0,1,0,0,0,1.0,0
51,3,25,21.0,4,0.6,3,0,1,0,0,0,1.0,1
35,3,9,40.0,3,0.9,1,0,1,0,0,0,1.0,0
30,3,5,41.0,4,1.7,2,0,1,0,0,0,1.0,0
31,3,5,82.0,4,1.8,2,0,1,0,0,0,1.0,0
45,5,20,155.0,1,7.0,1,0,1,0,0,0,1.0,1
45,5,19,45.0,1,0.2,1,0,1,0,0,0,1.0,0
58,5,32,9.0,3,0.3,3,0,1,0,0,0,0.0,1
54,5,29,48.0,4,1.8,3,0,1,0,0,0,1.0,0
53,5,28,18.0,4,0.1,3,109,1,0,1,1,1.0,1
33,5,9,80.0,4,3.4,1,0,1,0,0,0,1.0,1
60,5,35,64.0,2,2.8,1,0,1,0,0,0,0.0,0
50,5,24,29.0,4,0.1,1,0,3,0,0,0,0.0,0
26,5,2,48.0,3,0.7,2,0,1,0,0,0,1.0,0
54,5,30,23.0,2,0.4,1,0,1,0,0,0,0.0,0
28,5,3,84.0,4,0.2,1,0,1,0,0,0,1.0,1
29,2,2,30.0,4,1.5,2,112,0,0,0,0,0.0,1
54,2,28,93.0,1,4.9,1,133,0,0,0,1,1.0,1
55,2,30,39.0,2,1.9,2,0,0,0,0,0,0.0,0
61,2,36,60.0,3,0.5,2,182,0,0,0,0,0.0,0
36,2,11,133.0,1,3.8,1,290,0,0,1,1,1.0,1
45,2,19,125.0,1,2.4,1,0,0,0,0,0,0.0,0
64,2,40,58.0,1,1.8,3,0,0,0,0,0,1.0,0
60,2,36,89.0,2,2.8,1,0,0,0,0,0,1.0,0
49,2,22,82.0,1,2.66666666666667,2,125,0,0,0,0,1.0,0
47,5,23,110.0,2,3.3,1,0,0,0,0,0,1.0,1
60,2,36,54.0,4,2.3,3,0,0,0,1,0,0.0,0
45,2,20,89.0,4,1.9,3,0,0,0,0,0,1.0,0
32,2,7,42.0,3,2.3,1,0,0,0,0,0,1.0,0
52,2,28,41.0,3,1.9,2,0,0,0,0,0,0.0,1
35,5,8,38.0,4,1.0,2,124,0,0,0,0,1.0,0
40,2,15,85.0,2,0.4,1,0,0,0,0,0,1.0,0
53,2,29,83.0,4,1.0,2,0,0,0,0,0,1.0,0
27,2,0,33.0,4,1.0,3,0,0,0,0,0,0.0,0
